,Brewery Name,Beer Name,Beer Type,ABV %,Num of Ratings,Avg Rating
73,Tree House Brewing Company,Curiosity One Hundred Ten,IPA - Imperial,8.2,22,4.32
74,Tree House Brewing Company,Curiosity One Hundred Thirteen,IPA - American,6.7,1,4.22
75,Tree House Brewing Company,Curiosity One Hundred Three,IPA - Imperial,7.9,31,4.38
76,Tree House Brewing Company,Curiosity One Hundred Twelve,IPA - Imperial,8.1,17,4.18
77,Tree House Brewing Company,Curiosity One Hundred Two,IPA - Imperial,8.3,35,4.36
78,Tree House Brewing Company,Dad Shoes,Stout - Sweet / Milk,8.2,67,4.2
79,Tree House Brewing Company,Daze,IPA - New England,6.9,100,4.32
80,Tree House Brewing Company,Dear Washington,IPA - American,6.8,57,4.1
81,Tree House Brewing Company,Doppelganger,IPA - New England,8.2,2063,4.59
82,Tree House Brewing Company,Doppelganger W/ Passionfruit,IPA - New England,8.2,2,4.43
83,Tree House Brewing Company,Doppelganger W/ Peach,IPA - New England,8.2,21,4.67
84,Tree House Brewing Company,Double Shot,Stout - American,7.6,1181,4.55
85,Tree House Brewing Company,Double Shot - Banana,Stout - American,8.2,0,0.0
86,Tree House Brewing Company,Double Shot - Chocolate Truffle,Stout - American,8.2,2,4.87
87,Tree House Brewing Company,Double Shot - Costa Rica Torres Family,Stout - American Imperial,8.9,45,4.44
88,Tree House Brewing Company,Double Shot - Espresso,Stout - American Imperial,9.2,118,4.44
89,Tree House Brewing Company,Double Shot - Espresso Oreo,Stout - American Imperial,9.2,2,4.75
90,Tree House Brewing Company,Double Shot - Ethiopia Misty Valley,Stout - American Imperial,9.1,54,4.44
91,Tree House Brewing Company,Double Shot - Gold,Stout - American Imperial,9.2,3,4.19
92,Tree House Brewing Company,Double Shot - Hair Bender,Stout - American Imperial,9.1,62,4.49
93,Tree House Brewing Company,Double Shot - Intense Vanilla,Stout - American Imperial,8.9,5,4.49
94,Tree House Brewing Company,Double Shot - Maple,Stout - American Imperial,9.2,15,4.61
95,Tree House Brewing Company,Double Shot - Marshmallow,Stout - American Imperial,9.6,22,4.67
96,Tree House Brewing Company,Double Shot - Paragon,Stout - American Imperial,8.9,17,4.49
97,Tree House Brewing Company,Double Shot - Peru Estrella Divina,Stout - American,8.8,42,4.3
98,Tree House Brewing Company,Double Shot - Strawberry,Stout - American Imperial,9.1,14,4.29
99,Tree House Brewing Company,Double Shot - Vanilla Bean,Stout - American Imperial,9.2,207,4.5
100,Tree House Brewing Company,Double Shot - Vanilla Bean & Chocolate Truffle,Stout - American,8.6,3,4.72
101,Tree House Brewing Company,Double Shot - Vanilla Bean & Marshmallow,Stout - American,8.6,4,4.53
102,Tree House Brewing Company,Double Shot - Vanilla Bean & Oreo,Stout - American Imperial,8.6,10,4.78
103,Tree House Brewing Company,Double Shot - Wish List,Stout - American,8.8,30,4.3
104,Tree House Brewing Company,Doubleganger,IPA - New England,8.2,1161,4.63
105,Tree House Brewing Company,Doubleganger W/ Guava,IPA - Imperial,9.2,6,4.62
106,Tree House Brewing Company,Dreamer,Wheat Beer - Hefeweizen,5.2,38,4.14
107,Tree House Brewing Company,East Hill,Pale Ale - American,5.2,181,4.25
108,Tree House Brewing Company,Eight,IPA - Imperial,8.6,55,4.44
109,Tree House Brewing Company,Eternity,Stout - American Imperial,11.8,33,4.57
110,Tree House Brewing Company,Eudemonia,Wild Ale,5.6,7,4.09
111,Tree House Brewing Company,Eureka W/ Blood Orange,Pale Ale - American,4.1,7,4.23
112,Tree House Brewing Company,Eureka W/ Citra,Blonde Ale - American,4.1,994,4.28
113,Tree House Brewing Company,Eureka W/ Galaxy,Blonde Ale - American,4.1,348,4.23
114,Tree House Brewing Company,Eureka W/ Galaxy & Guava,Blonde Ale - American,4.1,1,4.25
115,Tree House Brewing Company,Eureka W/ Mosaic,Blonde Ale - American,4.1,326,4.21
116,Tree House Brewing Company,Eureka W/ Nelson,Blonde Ale - American,4.1,274,4.2
117,Tree House Brewing Company,Expressionism,Stout - American Imperial,9.3,82,4.24
118,Tree House Brewing Company,Expressionism - Mocha,Stout - American Imperial,0.0,6,4.39
119,Tree House Brewing Company,Fall Classic,IPA - American,6.9,34,4.08
120,Tree House Brewing Company,Fascination,IPA - Imperial,8.0,56,4.31
121,Tree House Brewing Company,Festive,Stout - American Imperial,10.4,19,4.42
122,Tree House Brewing Company,Fleeting Moment,Stout - Sweet / Milk,9.6,115,4.42
123,Tree House Brewing Company,Fleeting Moment - Chocolate Truffles,Stout - Sweet / Milk,9.6,1,4.5
124,Tree House Brewing Company,Fleeting Moment - Extra Maple,Stout - Sweet / Milk,9.6,2,4.75
125,Tree House Brewing Company,Force Of Will,IPA - Imperial,8.5,147,4.42
126,Tree House Brewing Company,Forever Is A Very Long Time,Stout - Sweet / Milk,10.2,5,4.46
127,Tree House Brewing Company,Foster,Barleywine - American,0.0,0,0.0
128,Tree House Brewing Company,Free To Roam,Lager - Helles,0.0,19,4.12
129,Tree House Brewing Company,Free Your Mind,Stout - Sweet / Milk,0.0,18,4.26
130,Tree House Brewing Company,Fruit Project,IPA - Imperial,8.3,33,4.43
131,Tree House Brewing Company,Fruit Project - Coconut + Honey + Pineapple,IPA - New England,8.3,17,4.06
132,Tree House Brewing Company,Fruit Project - Guava,IPA - Imperial,8.4,21,4.36
133,Tree House Brewing Company,Fruit Project - Mango + Guava + Tangerine,IPA - Imperial,8.4,0,0.0
134,Tree House Brewing Company,Fruit Project - Mango + Stone Fruit,IPA - Imperial,8.4,17,4.41
135,Tree House Brewing Company,Fruit Project - Passion Fruit + Peach,IPA - Imperial,8.4,19,4.09
136,Tree House Brewing Company,Fruit Project - Stonefruit,IPA - Imperial,8.4,26,4.39
137,Tree House Brewing Company,Fudge,Stout - Sweet / Milk,9.2,73,4.34
138,Tree House Brewing Company,Fudge - Coconut,Stout - Sweet / Milk,9.2,3,4.53
139,Tree House Brewing Company,Futurism,Porter - Imperial,8.7,30,4.13
140,Tree House Brewing Company,Gggreennn!,IPA - New England,7.5,469,4.57
141,Tree House Brewing Company,Ghost Emoji,IPA - Imperial,8.2,29,4.28
142,Tree House Brewing Company,Giving,Stout - Sweet / Milk,10.2,18,4.47
143,Tree House Brewing Company,Green,IPA - New England,7.6,3348,4.6
144,Tree House Brewing Company,Green W/ Guava,IPA - New England,7.5,7,4.38
145,Tree House Brewing Company,Guava Peach Hibiscus Tart,Wheat Beer - American Pale,4.8,8,4.0
146,Tree House Brewing Company,Harmony,IPA - American,6.9,125,4.33
147,Tree House Brewing Company,Haze,IPA - New England,8.2,3095,4.58
148,Tree House Brewing Company,Haze W/ Mango,IPA - New England,8.2,1,4.5
149,Tree House Brewing Company,Haze W/ Peach,IPA - New England,8.2,33,4.56
150,Tree House Brewing Company,Hedonic Adaptation,Stout - Sweet / Milk,9.1,69,4.34
151,Tree House Brewing Company,Hey Mr. Gingerbread Man,Stout - Sweet / Milk,9.4,33,4.16
152,Tree House Brewing Company,Hey Mr. Gingerbread Man - Chocolate Truffle,Stout - Sweet / Milk,9.4,2,4.23
153,Tree House Brewing Company,Hibiscus & Dragonfruit Tart,Sour - Berliner Weisse,4.0,31,3.97
154,Tree House Brewing Company,Hold On To Sunshine,Stout - Sweet / Milk,7.6,571,4.52
155,Tree House Brewing Company,Hold On To Sunshine - Oreo,Stout - Sweet / Milk,7.6,4,4.61
156,Tree House Brewing Company,Hold On To Sunshine - Dark Chocolate,Stout - Sweet / Milk,7.6,6,4.52
157,Tree House Brewing Company,Hold On To Sunshine - Marshmallow,Stout - Sweet / Milk,7.7,6,4.69
158,Tree House Brewing Company,Homemade,Stout - Sweet / Milk,9.6,54,4.37
159,Tree House Brewing Company,Homemade - Banana,Stout - American Imperial,9.6,3,4.25
160,Tree House Brewing Company,Honey,IPA - Imperial,7.9,34,4.22
161,Tree House Brewing Company,Human Condition,Stout - Sweet / Milk,7.9,240,4.46
162,Tree House Brewing Company,Human Condition - Chocolate Truffle,Stout - Sweet / Milk,7.9,1,4.31
163,Tree House Brewing Company,Hurricane,IPA - New England,7.7,591,4.38
164,Tree House Brewing Company,Hurricane - Mango,IPA - Imperial,7.7,1,4.75
165,Tree House Brewing Company,Hurricane - Passion Fruit,IPA - Imperial,7.7,3,4.42
166,Tree House Brewing Company,Hurricane - Peach,IPA - Imperial,7.7,7,4.48
167,Tree House Brewing Company,Hurricane - Peach & Guava,IPA - Imperial,7.7,0,0.0
168,Tree House Brewing Company,I Have Promises To Keep,IPA - New England,7.9,234,4.41
169,Tree House Brewing Company,I Have Promises To Keep W/ Peach,IPA - Imperial,7.9,1,4.25
170,Tree House Brewing Company,I Will Not Be Afraid,Stout - Sweet / Milk,9.3,175,4.54
171,Tree House Brewing Company,I Will Not Be Afraid - Banana,Stout - Sweet / Milk,9.3,1,5.0
172,Tree House Brewing Company,I Will Not Be Afraid - Chocolate Truffle,Stout - American Imperial,9.3,5,4.55
173,Tree House Brewing Company,I Will Not Be Afraid - Mocha,Stout - Sweet / Milk,9.3,2,4.39
174,Tree House Brewing Company,I Will Not Be Afraid - Oreo,Stout - Sweet / Milk,9.3,8,4.53
175,Tree House Brewing Company,I'm Dreaming Of A White Chocolate Christmas,Stout - Sweet / Milk,9.6,25,4.31
176,Tree House Brewing Company,I'm Dreaming Of A White Chocolate Christmas - Oreo,Stout - Sweet / Milk,9.6,6,4.59
177,Tree House Brewing Company,Impermanence,Stout - Sweet / Milk,9.0,506,4.52
178,Tree House Brewing Company,Impermanence - Chocolate Truffle,Stout - Sweet / Milk,9.0,2,4.53
179,Tree House Brewing Company,Impermanence - Extra Maple,Stout - American Imperial,9.0,18,4.55
180,Tree House Brewing Company,Impermanence - Extra Maple & Chocolate Truffle,Stout - Sweet / Milk,7.7,1,4.53
181,Tree House Brewing Company,Impermanence - Marshmallow,Stout - Sweet / Milk,9.0,4,4.76
182,Tree House Brewing Company,Impermanence - Oreo,Stout - Sweet / Milk,9.0,4,4.54
183,Tree House Brewing Company,Impressionism,Stout - American Imperial,9.0,58,4.2
184,Tree House Brewing Company,Impressionism - Vanilla,Stout - American Imperial,9.0,0,0.0
185,Tree House Brewing Company,In Perpetuity,IPA - New England,6.7,1085,4.54
186,Tree House Brewing Company,In Perpetuity W/ Peach,IPA - New England,6.7,1,4.26
